	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	F_stat	p	bonferroni_p	BH_p
Fatty_Acid_Biosynthesis_FASII	127719	131451	126035	117528	133954	151142	69271	0	133594	0	58503	95988	116695	55125	64133	0	0	0	144844	127834	0	0	0	73161	0	0	65883	56152	124099	65727	65805	67961.2666666667	56156.9372224153	532.102641033593	9.31810045824049e-20	7.06312014734629e-17	7.06312014734629e-17
CBSS-56780.10.peg.1536	30737	30083	26729	27128	27439	28220	9431	0	24070	0	9835	13672	16098	14707	16882	0	0	0	30842	28857	0	0	0	23215	0	0	15011	6548	26479	14725	14716	14023.6	11992.8258313331	469.735341900541	4.8801324475496e-19	3.6991403952426e-16	1.8495701976213e-16
Nucleoside_Catabolism_cluster	51472	49336	54935	47774	61517	51976	16569	0	43747	0	15120	37355	46026	22569	24670	0	0	0	57093	44917	0	0	0	23835	0	0	28369	22320	42207	24959	24252.5	25558.8666666667	21871.9756715006	317.846185487143	8.07980888560099e-17	6.12449513528555e-14	2.04149837842852e-14
CBSS-296591.1.peg.2330	49572	43705	42716	44549	43495	51039	25270	0	46855	0	21620	34829	41511	29818	23164	0	0	0	50536	48871	0	0	0	31402	0	0	38400	16348	41781	37796	30610	25442.5666666667	20138.7410004104	289.407300950247	2.69602139881416e-16	2.04358422030113e-13	5.10896055075283e-14
cAMP_signaling_in_bacteria	25300	25924	24301	23973	30854	30606	13970	0	21696	0	15454	21461	26539	13150	13930	0	0	0	26597	24987	0	0	0	19313	0	0	16518	12534	20742	16709	15986	14151.9333333333	11201.0471983752	234.770845327916	3.83152583234117e-15	2.9042965809146e-12	5.80859316182921e-13
Proline_Synthesis	31934	35333	37546	33105	30608	36315	15933	0	24537	0	17361	23866	29858	15317	18102	0	0	0	35811	35719	0	0	0	24165	0	0	20281	12138	27927	0	17731.5	16861.8666666667	14575.953607494	200.597817352539	2.71682181131677e-14	2.05935093297811e-11	3.14255783383248e-12
CBSS-262719.3.peg.410	39834	43705	42591	38681	43699	40033	28643	0	39333	0	29904	47006	35768	19552	29242	0	0	0	49732	40537	0	0	0	24721	0	0	27053	24984	33102	27026	27848	23504.8666666667	18234.9356470094	199.528082619361	2.90209826343369e-14	2.19979048368273e-11	3.14255783383248e-12
Deoxyribose_and_Deoxynucleoside_Catabolism	35687	39297	44774	35523	48595	42799	9430	0	24786	0	7265	26793	31543	17752	16623	0	0	0	45255	32429	0	0	0	18461	0	0	21268	15939	28588	20960	18106.5	18792.2333333333	16760.9675131885	197.218879527411	3.34984323021466e-14	2.53918116850271e-11	3.17397646062839e-12
Iojap	155823	181729	166648	127505	176257	195764	93718	0	118596	0	76014	134238	171387	79897	82671	0	0	0	182405	141320	0	0	0	107122	0	0	90487	82100	129373	85999	88243	85968.4333333333	69981.617132365	193.816038183569	4.14981298141985e-14	3.14555823991624e-11	3.49506471101805e-12
Cluster_with_phosphopentomutase_paralog	6253	5709	5885	6622	6289	6042	4397	2	6302	0	4206	6845	4620	4519	4160	2	814	0	6692	7293	0	21	6	3095	14	0	5075	3569	4709	5020	4458	3605.36666666667	2710.26234235135	190.048981017421	5.28049912060643e-14	4.00261833341968e-11	3.98296615117256e-12
YrdC-YciO-Sua5_protein_family	79457	81059	68872	63825	78061	87653	46634	0	70743	0	39239	59503	90938	41905	63406	0	0	0	80313	67080	0	0	0	54147	0	0	46235	39101	77565	45481	46434.5	42707.2333333333	33579.1334679875	188.652526437928	5.78003003468313e-14	4.38126276628981e-11	3.98296615117256e-12
ABC_transporter_of_unknown_substrate_X	9168	9594	12931	8577	12928	12664	2260	49	7498	274	3766	5874	5129	4145	7965	0	265	11	11591	10675	35	0	0	4234	0	0	3317	1809	7248	3121	3955.5	4837.6	4556.86889325827	183.995697870938	7.84693402609194e-14	5.94797599177769e-11	4.95664665981474e-12
Cadmium_resistance	17639	14454	12260	13910	16739	16521	5961	0	10146	32	7366	11242	13520	10785	2644	0	0	0	16282	10658	10	0	0	8973	0	0	9639	8124	14274	9302	9137.5	7682.7	6378.51554533412	178.865560971567	1.10765177940389e-13	8.39600048788148e-11	6.45846191375498e-12
CBSS-193567.1.peg.90	7190	6985	6093	5815	6083	6759	2449	0	3311	3	3357	4375	4958	5400	2412	0	0	2	8409	5214	0	0	0	4677	0	0	3922	2239	5881	3922	3639.5	3315.2	2763.43371363512	172.676752763101	1.69844170673899e-13	1.28741881370815e-10	9.19584866934396e-12
Rhamnose_containing_glycans	69230	59651	56815	60243	59229	72953	43781	0	60327	0	35782	48436	82313	40639	32295	0	0	0	82799	68261	0	0	0	46253	0	0	45566	29028	60115	45046	44413.5	36625.4	29163.4393856417	165.764483469139	2.78186071948091e-13	2.10865042536653e-10	1.37209434218851e-11
Heat_shock_dnaK_gene_cluster_extended	179187	185011	178146	162154	182818	206703	108824	0	145681	0	92336	173921	217829	80179	109232	0	0	0	209112	158901	0	0	0	96366	0	0	93518	103624	160037	92588	99995	97872.2333333333	79378.5847562754	165.210694045639	2.89624135554304e-13	2.19535094750162e-10	1.37209434218851e-11
Pyridoxin_(Vitamin_B6)_Biosynthesis	76369	82898	76811	65237	82201	97149	28886	0	71504	0	26026	78361	86734	38955	43900	0	0	0	90080	62703	0	0	0	55869	0	0	37277	43942	65256	36331	41427.5	41549.6333333333	34771.4507859173	153.753974065463	6.84936673714426e-13	5.19181998675535e-10	3.05401175691491e-11
tRNA_modification_Bacteria	410041	433085	402828	324060	412238	457985	232877	0	343536	0	207340	358009	512311	199269	271628	0	0	0	461816	320469	0	0	0	277459	0	0	220456	195121	351041	213323	226666.5	220163.066666667	177749.103484219	144.106432477776	1.47680216213177e-12	1.11941603889588e-09	6.21897799386601e-11
Purine_conversions	200048	193279	178733	171311	191410	227444	145940	0	170225	0	121125	193838	247548	106190	138426	0	0	0	232848	191097	0	0	0	139697	0	0	96849	106341	169360	95641	129775.5	110578.333333333	87733.4629601984	137.385617402822	2.58881625342258e-12	1.96232272009432e-09	9.6813143437399e-11
Heme_and_Siroheme_Biosynthesis	112158	109188	102777	99431	102814	117009	84964	0	110196	0	41381	86720	151788	65238	57693	0	0	0	109935	104226	0	0	0	68559	0	0	58239	60665	98617	47252	62951.5	59628.3333333333	48581.5350273043	137.360154846049	2.59444023490859e-12	1.96658569806071e-09	9.6813143437399e-11
Acetoin,_butanediol_metabolism	62705	58664	50324	48584	61241	67413	41807	0	53643	0	44243	65163	67463	34136	42512	0	0	0	78644	53862	0	0	0	39198	0	0	30847	35267	53223	35592	40502.5	34151.0333333333	26808.7578787017	136.970494843611	2.68215832742134e-12	2.03307601218538e-09	9.6813143437399e-11
Coenzyme_A_Biosynthesis	32759	39955	37513	31771	44584	42338	17833	0	32317	0	17385	32649	48592	16179	23391	0	0	0	39320	34026	0	0	0	30651	0	0	18021	25444	33531	18339	20865	20553.2666666667	16784.75131231	136.021634560366	2.90933225000307e-12	2.20527384550232e-09	1.00239720250106e-10
Glutaredoxins	6410	7523	7092	5405	6544	7307	1695	26	2354	45	1531	2397	4136	1671	3202	2	533	130	6496	5876	0	3	0	2542	21	0	860	1430	5526	818	1683	2719.16666666667	2727.45513675083	134.856671810519	3.21681789178981e-12	2.43834796197667e-09	1.06015128781595e-10
Glutathione:_Redox_cycle	13448	16803	15680	13855	16542	17279	3104	25	6911	0	0	6442	9443	5302	9221	2	535	130	18864	13820	0	0	0	5383	21	0	3959	3524	11077	3782	4630.5	6505.06666666667	6555.23391272765	133.83779512029	3.51436414533262e-12	2.66388802216213e-09	1.10995334256755e-10
Control_of_cell_elongation_-_division_cycle_in_Bacilli	25615	24216	21412	21578	24258	24114	13702	0	15046	0	17012	20284	26702	16833	14314	0	0	0	28865	16177	0	0	0	17954	0	0	13276	12037	21504	12656	14680	12918.5	10183.0040576409	132.240282014414	4.04185025164143e-12	3.0637224907442e-09	1.22548899629768e-10
Sialic_Acid_Metabolism	175948	174130	162269	150807	179744	181146	109923	0	130050	0	63932	0	0	93964	122304	0	0	0	184687	163262	0	0	0	129432	0	0	106250	0	139712	108731	100107	79209.7	75262.2162498417	127.916836635086	5.94374532779798e-12	4.50535895847087e-09	1.73283036864264e-10
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	5537	8991	9196	5632	9243	8980	1751	30	4825	83	1650	4573	5102	2211	3827	11	243	0	8034	6161	9	14	0	3791	0	0	1586	1986	4524	1636	2098.5	3320.86666666667	3243.57212337574	127.482480036244	6.18221848650922e-12	4.68612161277399e-09	1.7356005973237e-10
Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	5302	5044	4472	4044	4918	4835	2176	0	2607	0	3044	3543	4198	3989	2306	0	0	0	6158	4114	0	0	0	0	0	0	3272	1913	4114	3131	2825.5	2439.33333333333	2093.5223302192	126.078301675642	7.02594665321695e-12	5.32566756313845e-09	1.88846858723207e-10
Experimental-yggC	8305	9026	8288	8477	9635	9888	4787	0	7664	0	6028	0	10647	4702	7179	0	900	0	10608	8332	0	0	0	5942	15	0	4379	5177	6606	4216	4982	4693.36666666667	3944.53819230778	125.773352689217	7.22501174534695e-12	5.47655890297299e-09	1.88846858723207e-10
tRNAs	480	461	382	331	381	421	184	0	197	0	201	258	310	376	123	0	0	0	475	302	0	0	0	305	0	0	284	132	326	309	229.5	207.933333333333	172.771112953712	123.233701991151	9.13782131273824e-12	6.92646855505559e-09	2.3088228516852e-10
Beta-lactamase_cluster_in_Streptococcus	63723	56257	50536	52912	64082	65973	32165	22974	52587	22874	31179	52823	61999	30503	39056	21803	22698	29239	70363	57635	18567	18683	18979	41944	22174	17535	36423	29568	51469	35903	36163	39754.2	17028.2115921663	122.596511885076	9.69854039267994e-12	7.35149361765139e-09	2.37144955408109e-10
Polyglycerolphosphate_lipoteichoic_acid_biosynthesis	8290	7039	6600	6324	7420	7047	4795	0	3384	21	5366	6051	7299	6002	4207	0	0	83	10128	7048	0	0	0	4790	0	0	5162	3495	6399	5145	4970	4069.83333333333	3205.42003362337	121.162456188649	1.109995739289e-11	8.41376770381062e-09	2.62930240744082e-10
Arginine_Deiminase_Pathway	35881	39079	36341	34464	41888	41140	14160	4979	32669	6010	15188	23496	0	16448	32111	3771	0	6850	43008	43501	4814	0	3247	0	0	0	10918	22684	29365	10828	14674	18428	16023.3554645969	120.686295404427	1.16120665821099e-11	8.80194646923928e-09	2.66725650583008e-10
5-FCL-like_protein	227911	220593	198999	192745	212583	245539	210284	0	205294	0	151536	0	0	122644	198128	0	0	0	239044	202447	0	0	0	195029	0	0	126548	150977	209619	123787	138762.5	114456.9	99600.0169184828	117.054119429461	1.64606253318627e-11	1.24771540015519e-08	3.52339924051169e-10
Ammonia_assimilation	40961	55407	52750	48566	45496	53664	30302	0	51876	0	22861	59553	55756	26405	37078	0	0	0	53747	50943	0	0	0	46899	0	0	28689	25485	36029	33064	31683	28517.7	22626.9965674969	116.857115631973	1.67793301936026e-11	1.27187322867507e-08	3.52339924051169e-10
CBSS-176279.3.peg.1262	1234	1165	1034	1040	1311	1276	495	0	672	0	0	885	1095	958	443	0	0	6	1438	1018	0	0	0	953	0	0	796	562	967	730	701	602.6	515.503276018889	116.670363412308	1.70875615598499e-11	1.29523716623662e-08	3.52339924051169e-10
