	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3	median	mean	sd	chi-squared_stat	p	bonferroni_p	BH_p
Xyloglucan_Utilization	0	0	0	0	0	0	0	26350	0	29519	0	0	0	0	0	33186	28434	28386	0	0	28893	29720	29033	0	25113	22828	0	0	0	0	0	9382.06666666667	13586.6895461326	27.4881516587678	1.0740480437728e-06	0.000814128417179781	0.000132812048901717
Anaerobic_Oxidative_Degradation_of_L-Ornithine	5781	4803	2690	4531	5701	5533	712	0	3556	0	1942	2647	991	872	146	0	0	0	7623	5188	0	0	0	1240	0	0	87	1153	4416	111	931.5	1990.76666666667	2360.47208433388	26.7898383371825	1.52286189370776e-06	0.00115432931543048	0.000132812048901717
CBSS-296591.1.peg.2330	49572	43705	42716	44549	43495	51039	25270	0	46855	0	21620	34829	41511	29818	23164	0	0	0	50536	48871	0	0	0	31402	0	0	38400	16348	41781	37796	30610	25442.5666666667	20138.7410004104	26.7898383371825	1.52286189370776e-06	0.00115432931543048	0.000132812048901717
CBSS-56780.10.peg.1536	30737	30083	26729	27128	27439	28220	9431	0	24070	0	9835	13672	16098	14707	16882	0	0	0	30842	28857	0	0	0	23215	0	0	15011	6548	26479	14725	14716	14023.6	11992.8258313331	26.7898383371825	1.52286189370776e-06	0.00115432931543048	0.000132812048901717
Fatty_Acid_Biosynthesis_FASII	127719	131451	126035	117528	133954	151142	69271	0	133594	0	58503	95988	116695	55125	64133	0	0	0	144844	127834	0	0	0	73161	0	0	65883	56152	124099	65727	65805	67961.2666666667	56156.9372224153	26.7898383371825	1.52286189370776e-06	0.00115432931543048	0.000132812048901717
CBSS-257314.1.peg.752	30620	29643	26490	28286	26428	31274	0	0	22955	0	0	0	0	0	0	0	0	0	28724	22679	0	0	0	0	0	0	0	0	25886	14507	0	9583.06666666667	13112.815907725	26.0178837555887	2.24020791368722e-06	0.00169807759857492	0.000132812048901717
Unknown_sugar_utilization_(cluster_yphABCDEFG)	0	0	8	0	0	0	0	3035	0	6115	0	0	0	0	0	6573	9361	3457	0	0	5831	4844	6531	0	8682	10203	0	0	0	0	0	2154.66666666667	3371.82827039834	26.0178837555887	2.24020791368722e-06	0.00169807759857492	0.000132812048901717
Deoxyribose_and_Deoxynucleoside_Catabolism	35687	39297	44774	35523	48595	42799	9430	0	24786	0	7265	26793	31543	17752	16623	0	0	0	45255	32429	0	0	0	18461	0	0	21268	15939	28588	20960	18106.5	18792.2333333333	16760.9675131885	26.0102540415704	2.2487703083201e-06	0.00170456789370664	0.000132812048901717
Nucleoside_Catabolism_cluster	51472	49336	54935	47774	61517	51976	16569	0	43747	0	15120	37355	46026	22569	24670	0	0	0	57093	44917	0	0	0	23835	0	0	28369	22320	42207	24959	24252.5	25558.8666666667	21871.9756715006	26.0102540415704	2.2487703083201e-06	0.00170456789370664	0.000132812048901717
ABC_transporter_of_unknown_substrate_X	9168	9594	12931	8577	12928	12664	2260	49	7498	274	3766	5874	5129	4145	7965	0	265	11	11591	10675	35	0	0	4234	0	0	3317	1809	7248	3121	3955.5	4837.6	4556.86889325827	25.4137206703911	3.03026544946677e-06	0.00229694121069581	0.000132812048901717
Proline_Synthesis	31934	35333	37546	33105	30608	36315	15933	0	24537	0	17361	23866	29858	15317	18102	0	0	0	35811	35719	0	0	0	24165	0	0	20281	12138	27927	0	17731.5	16861.8666666667	14575.953607494	25.2866432748538	3.22905304890582e-06	0.00244762221107061	0.000132812048901717
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	5537	8991	9196	5632	9243	8980	1751	30	4825	83	1650	4573	5102	2211	3827	11	243	0	8034	6161	9	14	0	3791	0	0	1586	1986	4524	1636	2098.5	3320.86666666667	3243.57212337574	25.1113489409142	3.52484367409791e-06	0.00267183150496622	0.000132812048901717
Glutaredoxins	6410	7523	7092	5405	6544	7307	1695	26	2354	45	1531	2397	4136	1671	3202	2	533	130	6496	5876	0	3	0	2542	21	0	860	1430	5526	818	1683	2719.16666666667	2727.45513675083	24.8375862836785	4.04191025705073e-06	0.00306376797484445	0.000132812048901717
cAMP_signaling_in_bacteria	25300	25924	24301	23973	30854	30606	13970	0	21696	0	15454	21461	26539	13150	13930	0	0	0	26597	24987	0	0	0	19313	0	0	16518	12534	20742	16709	15986	14151.9333333333	11201.0471983752	24.8181062355658	4.08147090828225e-06	0.00309375494847795	0.000132812048901717
CBSS-269799.3.peg.2220	828	110	688	120	516	556	3921	0	785	0	3097	4684	5498	159	2678	0	0	0	219	434	0	0	0	1002	0	0	3366	2054	659	3483	475	1161.9	1614.18213197037	24.8181062355658	4.08147090828225e-06	0.00309375494847795	0.000132812048901717
Iojap	155823	181729	166648	127505	176257	195764	93718	0	118596	0	76014	134238	171387	79897	82671	0	0	0	182405	141320	0	0	0	107122	0	0	90487	82100	129373	85999	88243	85968.4333333333	69981.617132365	24.5957505773672	4.56142588752717e-06	0.00345756082274559	0.000132812048901717
Rhamnose_containing_glycans	69230	59651	56815	60243	59229	72953	43781	0	60327	0	35782	48436	82313	40639	32295	0	0	0	82799	68261	0	0	0	46253	0	0	45566	29028	60115	45046	44413.5	36625.4	29163.4393856417	24.5957505773672	4.56142588752717e-06	0.00345756082274559	0.000132812048901717
Cadmium_resistance	17639	14454	12260	13910	16739	16521	5961	0	10146	32	7366	11242	13520	10785	2644	0	0	0	16282	10658	10	0	0	8973	0	0	9639	8124	14274	9302	9137.5	7682.7	6378.51554533412	24.5858988891408	4.58395019044159e-06	0.00347463424435473	0.000132812048901717
Sialic_Acid_Metabolism	175948	174130	162269	150807	179744	181146	109923	0	130050	0	63932	0	0	93964	122304	0	0	0	184687	163262	0	0	0	129432	0	0	106250	0	139712	108731	100107	79209.7	75262.2162498417	24.5001210360687	4.7848278149926e-06	0.00362689948376439	0.000132812048901717
CBSS-262719.3.peg.410	39834	43705	42591	38681	43699	40033	28643	0	39333	0	29904	47006	35768	19552	29242	0	0	0	49732	40537	0	0	0	24721	0	0	27053	24984	33102	27026	27848	23504.8666666667	18234.9356470094	24.378752886836	5.08418181328858e-06	0.00385380981447275	0.000132812048901717
Heme_and_Siroheme_Biosynthesis	112158	109188	102777	99431	102814	117009	84964	0	110196	0	41381	86720	151788	65238	57693	0	0	0	109935	104226	0	0	0	68559	0	0	58239	60665	98617	47252	62951.5	59628.3333333333	48581.5350273043	24.378752886836	5.08418181328858e-06	0.00385380981447275	0.000132812048901717
MLST	73167	66866	60351	53400	73764	75413	26537	0	47827	0	18229	25105	89809	29661	30759	0	0	0	80092	59450	0	0	0	46879	0	0	22867	11675	61244	7639	25821	32024.4666666667	30592.047296229	24.378752886836	5.08418181328858e-06	0.00385380981447275	0.000132812048901717
pyrimidine_conversions	145513	146944	131246	124157	173545	178041	69481	0	119746	0	64941	119124	217453	78437	90784	0	0	0	179076	119992	0	0	0	105606	0	0	80787	69052	120758	80167	80477	80495	67470.9440901326	24.378752886836	5.08418181328858e-06	0.00385380981447275	0.000132812048901717
YrdC-YciO-Sua5_protein_family	79457	81059	68872	63825	78061	87653	46634	0	70743	0	39239	59503	90938	41905	63406	0	0	0	80313	67080	0	0	0	54147	0	0	46235	39101	77565	45481	46434.5	42707.2333333333	33579.1334679875	24.378752886836	5.08418181328858e-06	0.00385380981447275	0.000132812048901717
CBSS-193567.1.peg.90	7190	6985	6093	5815	6083	6759	2449	0	3311	3	3357	4375	4958	5400	2412	0	0	2	8409	5214	0	0	0	4677	0	0	3922	2239	5881	3922	3639.5	3315.2	2763.43371363512	24.3678911564626	5.11186843239955e-06	0.00387479627175886	0.000132812048901717
Propanediol_utilization	28488	24037	20050	22850	28401	30930	2619	0	30307	0	9499	9643	43585	11570	4897	0	0	0	31592	24492	0	0	0	19491	0	0	20307	6509	23706	9422	9571	13413.1666666667	13036.7518513368	24.1671131639723	5.65168638575395e-06	0.0042839782804015	0.000132812048901717
Fermentations:_Lactate	75217	63488	60523	65659	62138	73154	32915	0	63227	0	0	18194	0	43855	9097	0	0	0	70066	63040	0	0	0	49075	0	0	41992	0	63007	0	13645.5	28488.2333333333	30496.2729024987	24.1188118811881	5.78983976851412e-06	0.0043886985445337	0.000132812048901717
Threonine_anaerobic_catabolism_gene_cluster	48561	45598	42677	43116	44897	52012	0	0	45199	0	2356	3777	0	29269	3381	0	0	0	47979	46142	0	0	0	36497	0	0	27043	0	40962	0	2868.5	18648.8666666667	21582.5811944747	24.1188118811881	5.78983976851412e-06	0.0043886985445337	0.000132812048901717
Unknown_carbohydrate_utilization_(_cluster_Yeg_)	4320	2804	2383	3330	0	0	0	6755	0	8198	0	0	0	0	0	8935	10284	6871	3479	0	7187	6778	5373	0	7203	6774	0	0	3297	0	2593.5	3132.36666666667	3433.05857884003	24.1188118811881	5.78983976851412e-06	0.0043886985445337	0.000132812048901717
Fermentations:_Mixed_acid	167422	150931	143578	144881	151105	174639	0	0	146834	0	0	0	0	99331	71779	0	0	0	163606	147210	0	0	0	0	0	0	82605	0	140923	69651	0	61816.5	71356.1957094175	24.0209698558322	6.08012728047831e-06	0.00460873647860256	0.000132812048901717
Coenzyme_A_Biosynthesis	32759	39955	37513	31771	44584	42338	17833	0	32317	0	17385	32649	48592	16179	23391	0	0	0	39320	34026	0	0	0	30651	0	0	18021	25444	33531	18339	20865	20553.2666666667	16784.75131231	23.960831408776	6.26572844400054e-06	0.00474942216055241	0.000132812048901717
Lipopolysaccharide_assembly_cluster	25069	26629	25705	22609	25627	28753	0	0	23665	0	0	0	4654	0	3584	0	0	0	25928	23438	0	0	0	0	0	0	8122	1878	21271	7300	939	9141.06666666667	11563.2513711008	23.9517153748412	6.29435292644241e-06	0.00477111951824335	0.000132812048901717
Listeria_Pathogenicity_Island_LIPI-1_extended	0	0	0	0	0	0	0	3093	0	891	0	0	0	0	0	3149	265	2545	0	0	3214	684	3353	0	7106	0	0	0	0	0	0	810	1657.54781488218	23.8477157360406	6.6303174900989e-06	0.00502578065749496	0.000132812048901717
Phosphoenolpyruvate_phosphomutase	0	0	0	0	0	0	0	5081	0	4956	0	0	0	0	0	7354	5430	5850	0	0	4903	5404	0	0	15915	9004	0	0	0	0	0	2129.9	3804.14863691262	23.8477157360406	6.6303174900989e-06	0.00502578065749496	0.000132812048901717
Serine-glyoxylate_cycle	339550	321756	310944	298716	303344	351702	239447	0	346001	0	193421	308069	621955	183785	242481	0	0	0	343993	314844	0	0	0	270455	0	0	252344	268454	289412	248470	250407	201638.1	162027.028795507	23.7599076212471	6.92790007180701e-06	0.00525134825442972	0.000132812048901717
tRNAs	480	461	382	331	381	421	184	0	197	0	201	258	310	376	123	0	0	0	475	302	0	0	0	305	0	0	284	132	326	309	229.5	207.933333333333	172.771112953712	23.7599076212471	6.92790007180701e-06	0.00525134825442972	0.000132812048901717
Beta-lactamase_cluster_in_Streptococcus	63723	56257	50536	52912	64082	65973	32165	22974	52587	22874	31179	52823	61999	30503	39056	21803	22698	29239	70363	57635	18567	18683	18979	41944	22174	17535	36423	29568	51469	35903	36163	39754.2	17028.2115921663	23.6929032258065	7.16393166194545e-06	0.00543026019975465	0.000132812048901717
Glutathione:_Redox_cycle	13448	16803	15680	13855	16542	17279	3104	25	6911	0	0	6442	9443	5302	9221	2	535	130	18864	13820	0	0	0	5383	21	0	3959	3524	11077	3782	4630.5	6505.06666666667	6555.23391272765	23.6558071748879	7.29804840418984e-06	0.0055319206903759	0.000132812048901717
HPr_catabolite_repression_system	12661	10017	8502	9736	10980	10904	0	0	7457	0	0	0	0	8357	4376	0	0	0	12190	9041	0	0	0	0	0	0	4720	0	10170	4616	0	4124.23333333333	4838.20898526071	23.6287287024902	7.39753034036813e-06	0.00560732799799905	0.000132812048901717
CBSS-326442.4.peg.1852	58524	67865	59825	55124	65699	66598	33738	0	49632	0	35907	57477	89189	35907	42810	0	0	0	67218	56176	0	0	0	38366	0	0	35182	31302	49172	30853	35907	34218.8	27715.79500922	23.5697851697852	7.61879311328918e-06	0.0057750451798732	0.000132812048901717
Heat_shock_dnaK_gene_cluster_extended	179187	185011	178146	162154	182818	206703	108824	0	145681	0	92336	173921	217829	80179	109232	0	0	0	209112	158901	0	0	0	96366	0	0	93518	103624	160037	92588	99995	97872.2333333333	79378.5847562754	23.5643418013857	7.63955730609682e-06	0.00579078443802139	0.000132812048901717
Pyridoxin_(Vitamin_B6)_Biosynthesis	76369	82898	76811	65237	82201	97149	28886	0	71504	0	26026	78361	86734	38955	43900	0	0	0	90080	62703	0	0	0	55869	0	0	37277	43942	65256	36331	41427.5	41549.6333333333	34771.4507859173	23.5643418013857	7.63955730609682e-06	0.00579078443802139	0.000132812048901717
tRNA_modification_Bacteria	410041	433085	402828	324060	412238	457985	232877	0	343536	0	207340	358009	512311	199269	271628	0	0	0	461816	320469	0	0	0	277459	0	0	220456	195121	351041	213323	226666.5	220163.066666667	177749.103484219	23.5643418013857	7.63955730609682e-06	0.00579078443802139	0.000132812048901717
Cell_envelope-associated_LytR-CpsA-Psr_transcriptional_attenuators	5302	5044	4472	4044	4918	4835	2176	0	2607	0	3044	3543	4198	3989	2306	0	0	0	6158	4114	0	0	0	0	0	0	3272	1913	4114	3131	2825.5	2439.33333333333	2093.5223302192	23.5066916237717	7.86297273956935e-06	0.00596013333659357	0.000132812048901717
Riboflavin,_FMN_and_FAD_metabolism	16796	21634	30346	27159	36910	23688	16599	0	24139	0	1501	0	32897	9270	745	0	0	0	42659	19938	0	0	0	14447	0	0	10193	13874	14953	10077	10135	12260.8333333333	12997.3204747359	23.5011929824561	7.88462031738427e-06	0.00597654220057728	0.000132812048901717
Glyoxylate_bypass	22975	18403	20255	17043	14352	20405	45214	0	23455	0	40734	46279	90560	13803	50325	0	0	0	15471	13811	0	0	0	34643	0	0	21665	23936	21085	21055	17723	19182.3	20368.0715931611	23.3741339491917	8.40177995972105e-06	0.00636854920946855	0.000133405156659541
Queuosine-Archaeosine_Biosynthesis	97399	93165	86907	81766	86529	102883	63716	0	94079	0	55602	87142	143635	53645	62861	0	0	0	103612	74302	0	0	0	70263	0	0	54980	54509	84306	54599	59231.5	53530	42687.7391877986	23.3741339491917	8.40177995972105e-06	0.00636854920946855	0.000133405156659541
Cluster_with_phosphopentomutase_paralog	6253	5709	5885	6622	6289	6042	4397	2	6302	0	4206	6845	4620	4519	4160	2	814	0	6692	7293	0	21	6	3095	14	0	5075	3569	4709	5020	4458	3605.36666666667	2710.26234235135	23.3371097234612	8.5587632214006e-06	0.00648754252182165	0.000133405156659541
Gram-Positive_Extracellular_Nucleases	2954	2635	2600	2057	1913	1893	904	0	986	0	1796	1373	1316	2226	901	0	0	24	3270	1378	0	0	0	1773	0	0	1160	662	2185	1177	1168.5	1172.76666666667	1029.23365141031	23.3219657142857	8.62381619566952e-06	0.0065368526763175	0.000133405156659541
Phage_DNA_synthesis	12135	13104	12109	10200	12666	14089	0	0	4854	0	0	0	0	0	5099	0	0	0	12562	10395	0	0	0	4978	0	0	4309	0	10062	4190	0	4358.4	5369.99254221533	23.2425688073394	8.97305460965245e-06	0.00680157539411655	0.00013568795544089
CBSS-176299.4.peg.1996B	70105	64941	59746	51360	60029	69957	58655	0	65828	0	42199	56962	100588	36886	52160	0	0	0	70805	54696	0	0	0	54257	0	0	29427	32941	60230	42549	46954.5	37810.7	30105.4290397184	23.1892840646651	9.21533114245862e-06	0.00698522100598363	0.00013568795544089
5-FCL-like_protein	227911	220593	198999	192745	212583	245539	210284	0	205294	0	151536	0	0	122644	198128	0	0	0	239044	202447	0	0	0	195029	0	0	126548	150977	209619	123787	138762.5	114456.9	99600.0169184828	23.0925160370634	9.67216854690189e-06	0.00733150375855163	0.00013568795544089
Acetoin,_butanediol_metabolism	62705	58664	50324	48584	61241	67413	41807	0	53643	0	44243	65163	67463	34136	42512	0	0	0	78644	53862	0	0	0	39198	0	0	30847	35267	53223	35592	40502.5	34151.0333333333	26808.7578787017	23.009792147806	1.00806171307846e-05	0.00764110778513473	0.00013568795544089
Control_of_cell_elongation_-_division_cycle_in_Bacilli	25615	24216	21412	21578	24258	24114	13702	0	15046	0	17012	20284	26702	16833	14314	0	0	0	28865	16177	0	0	0	17954	0	0	13276	12037	21504	12656	14680	12918.5	10183.0040576409	23.009792147806	1.00806171307846e-05	0.00764110778513473	0.00013568795544089
Methanogenesis_strays	5772	3449	2257	4230	5089	4790	2373	0	3523	0	3713	4503	3994	2965	1628	0	0	0	5479	4494	0	0	0	645	0	0	2538	3318	4401	2405	2471.5	2385.53333333333	2026.13998109422	23.009792147806	1.00806171307846e-05	0.00764110778513473	0.00013568795544089
Purine_conversions	200048	193279	178733	171311	191410	227444	145940	0	170225	0	121125	193838	247548	106190	138426	0	0	0	232848	191097	0	0	0	139697	0	0	96849	106341	169360	95641	129775.5	110578.333333333	87733.4629601984	23.009792147806	1.00806171307846e-05	0.00764110778513473	0.00013568795544089
Tellurite_resistance:_Chromosomal_determinants	5892	6717	6079	4974	8892	6742	3268	17	4351	92	3533	3977	8215	3942	4413	5	296	0	6067	5299	0	17	0	5377	19	0	2325	2700	6447	2333	3737.5	3399.63333333333	2836.5525516304	22.9438893844781	1.04183207376754e-05	0.00789708711915792	0.00013568795544089
Ethanolamine_utilization	66624	55477	46367	54051	54162	61368	0	0	48356	0	0	0	0	35737	10083	0	19417	0	65574	58196	0	0	0	0	0	0	37419	0	54629	27863	5041.5	23177.4333333333	26335.5783549271	22.8639390088946	1.08432314249109e-05	0.00821916942008245	0.00013568795544089
CBSS-176279.3.peg.1262	1234	1165	1034	1040	1311	1276	495	0	672	0	0	885	1095	958	443	0	0	6	1438	1018	0	0	0	953	0	0	796	562	967	730	701	602.6	515.503276018889	22.8390069284064	1.09792496269641e-05	0.00832227121723882	0.00013568795544089
